Probe Set ID,Gene Title,Gene Symbol
1425256_PM_a_at,DIX domain containing 1,Dixdc1
1425257_PM_at,acyl-CoA thioesterase 5,Acot5
1425258_PM_at,cystatin 11,Cst11
1425259_PM_x_at,"killer cell lectin-like receptor subfamily A, member 12",Klra12
1425260_PM_at,albumin,Alb
1425261_PM_at,"CCAAT/enhancer binding protein (C/EBP), gamma",Cebpg
1425262_PM_at,"CCAAT/enhancer binding protein (C/EBP), gamma",Cebpg
1425263_PM_a_at,myelin basic protein,Mbp
1425264_PM_s_at,myelin basic protein,Mbp
1425265_PM_a_at,exoribonuclease 3,Eri3
1425266_PM_a_at,"RAP1, GTP-GDP dissociation stimulator 1",Rap1gds1
1425267_PM_a_at,platelet endothelial aggregation receptor 1,Pear1
1425268_PM_a_at,platelet endothelial aggregation receptor 1,Pear1
1425269_PM_at,"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein",Apbb1ip
1425270_PM_at,kinesin family member 1B,Kif1b
1425271_PM_at,"proteasome (prosome, macropain) 26S subunit, ATPase 3, interacting protein",Psmc3ip
1425272_PM_at,epithelial membrane protein 2,Emp2
1425273_PM_s_at,epithelial membrane protein 2,Emp2
1425274_PM_at,aspartate-beta-hydroxylase,Asph
1425275_PM_at,aspartate-beta-hydroxylase,Asph
1425276_PM_at,fibrosin,Fbrs
1425277_PM_at,slit homolog 1 (Drosophila),Slit1
1425278_PM_at,ubiquitination factor E4A,Ube4a
1425279_PM_at,PDLIM1 interacting kinase 1 like,Pdik1l
1425280_PM_at,leukocyte receptor cluster (LRC) member 1,Leng1
1425281_PM_a_at,"TSC22 domain family, member 3",Tsc22d3
1425282_PM_at,ring finger protein 144B,Rnf144b
1425283_PM_a_at,"metallothionein-like 5, testis-specific (tesmin)",Mtl5
1425284_PM_a_at,"RAB27A, member RAS oncogene family",Rab27a
1425285_PM_a_at,"RAB27A, member RAS oncogene family",Rab27a
1425286_PM_at,"crystallin, gamma N",Crygn
1425287_PM_at,zinc finger protein 189,Zfp189
1425288_PM_at,sterile alpha motif domain containing 11,Samd11
1425289_PM_a_at,complement receptor 2,Cr2
1425290_PM_at,syntaxin 19,Stx19
1425291_PM_at,forkhead box J1,Foxj1
1425292_PM_at,dystrobrevin alpha,Dtna
1425293_PM_a_at,"zinc finger, CCHC domain containing 18",Zcchc18
1425294_PM_at,SLAM family member 8,Slamf8
1425295_PM_at,"ribonuclease, RNase A family, 2A (liver, eosinophil-derived neurotoxin)",Rnase2a
1425296_PM_a_at,regulator of G-protein signaling 3,Rgs3
1425297_PM_at,zinc finger protein 825,Zfp825
1425298_PM_a_at,"NLR family, apoptosis inhibitory protein 1",Naip1
1425299_PM_s_at,tRNA methyltransferase 11-2,Trmt112
1425300_PM_at,dihydroxyacetone kinase 2 homolog (yeast),Dak
1425301_PM_at,neural cell adhesion molecule 2,Ncam2
1425302_PM_at,major facilitator superfamily domain containing 6-like,Mfsd6l
1425303_PM_at,glucokinase,Gck
1425304_PM_s_at,proline rich membrane anchor 1,Prima1
1425305_PM_at,zinc finger and BTB domain containing 21,Zbtb21
1425306_PM_at,cDNA sequence BC027072,BC027072
1425307_PM_at,"dynein, axonemal, heavy chain 1",Dnah1
1425308_PM_at,tripartite motif-containing 31,Trim31
1425309_PM_at,"cation channel, sperm associated 2",Catsper2
1425310_PM_a_at,"collagen, type XXVI, alpha 1",Col26a1
1425311_PM_at,RIKEN cDNA 4930432F04 gene,4930432F04Rik
1425312_PM_s_at,cleavage and polyadenylation specific factor 4-like,Cpsf4l
1425313_PM_at,calcium response factor,Carf
1425314_PM_at,G protein-coupled receptor 98,Gpr98
1425315_PM_at,dedicator of cytokinesis 7,Dock7
1425316_PM_at,"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)",B3gat1
1425317_PM_x_at,serine threonine kinase 31,Stk31
1425318_PM_a_at,transmembrane protein 116,Tmem116
1425319_PM_s_at,small nuclear ribonucleoprotein 48 (U11/U12),Snrnp48
1425320_PM_at,zinc finger protein 605,Zfp605
1425321_PM_a_at,calmin,Clmn
1425322_PM_at,predicted gene 13271 /// predicted gene 13272 /// predicted gene 13275 /// predicted gene 13276 /// predicted gene 13277 /// predicted gene 13278 /// predicted gene 13279 /// predicted gene 13283 /// predicted gene 13285 /// predicted gene 13286 /// predicted gene 13287 /// predicted gene 13288 /// predicted gene 13289 /// predicted gene 13290 /// interferon zeta,Gm13271 /// Gm13272 /// Gm13275 /// Gm13276 /// Gm13277 /// Gm13278 /// Gm13279 /// Gm13283 /// Gm13285 /// Gm13286 /// Gm13287 /// Gm13288 /// Gm13289 /// Gm13290 /// Ifnz
1425323_PM_a_at,"family with sequence similarity 173, member A",Fam173a
1425324_PM_x_at,"Parts of antibodies, mostly variable regions. /// immunoglobulin heavy constant mu",abParts /// Ighm
1425325_PM_at,"membrane-spanning 4-domains, subfamily A, member 4B",Ms4a4b
1425326_PM_at,ATP citrate lyase,Acly
1425327_PM_at,"family with sequence similarity 76, member A",Fam76a
1425328_PM_at,"family with sequence similarity 76, member A",Fam76a
1425329_PM_a_at,cytochrome b5 reductase 3,Cyb5r3
1425330_PM_a_at,"protein phosphatase 1B, magnesium dependent, beta isoform",Ppm1b
1425331_PM_at,zinc finger protein 106,Zfp106
1425332_PM_at,zinc finger protein 106,Zfp106
1425333_PM_at,"RAB43, member RAS oncogene family",Rab43
1425334_PM_at,golgi reassembly stacking protein 1,Gorasp1
1425335_PM_at,"CD8 antigen, alpha chain",Cd8a
1425336_PM_x_at,"histocompatibility 2, K1, K region",H2-K1
1425337_PM_at,"solute carrier family 12, member 5",Slc12a5
1425338_PM_at,"phospholipase C, beta 4",Plcb4
1425339_PM_at,"phospholipase C, beta 4",Plcb4
1425340_PM_a_at,"protein tyrosine phosphatase, receptor type, A",Ptpra
1425341_PM_at,"potassium channel, subfamily K, member 3",Kcnk3
1425342_PM_a_at,"potassium channel, subfamily K, member 3",Kcnk3
1425343_PM_at,haloacid dehalogenase-like hydrolase domain containing 3,Hdhd3
1425344_PM_at,nuclear prelamin A recognition factor,Narf
1425345_PM_at,coiled-coil domain containing 28A,Ccdc28a
1425346_PM_at,zinc finger protein 318,Zfp318
1425347_PM_a_at,zinc finger protein 318,Zfp318
1425348_PM_a_at,"signal recognition particle receptor, B subunit",Srprb
1425349_PM_a_at,"myelin basic protein expression factor 2, repressor",Myef2
1425350_PM_a_at,"myelin basic protein expression factor 2, repressor",Myef2
1425351_PM_at,sulfiredoxin 1 homolog (S. cerevisiae),Srxn1
1425352_PM_at,REST corepressor 3,Rcor3
1425353_PM_at,ectonucleotide pyrophosphatase/phosphodiesterase 3,Enpp3
1425354_PM_a_at,angiogenic factor with G patch and FHA domains 1,Aggf1
1425355_PM_at,acyl-CoA synthetase family member 2,Acsf2
1425356_PM_at,zinc finger protein 142,Zfp142
1425357_PM_a_at,gremlin 1,Grem1
1425358_PM_at,RIO kinase 1 (yeast),Riok1
1425359_PM_at,"mal, T cell differentiation protein-like",Mall
1425360_PM_at,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6",Mllt6
1425361_PM_at,zinc finger protein 397,Zfp397
1425362_PM_at,ArfGAP with FG repeats 2,Agfg2
1425363_PM_at,"beta-1,4-N-acetyl-galactosaminyl transferase 1",B4galnt1
1425364_PM_a_at,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2",Slc3a2
1425365_PM_a_at,"cytochrome P450, family 2, subfamily d, polypeptide 13",Cyp2d13
1425366_PM_a_at,Hus1 homolog (S. pombe),Hus1
1425367_PM_at,integrin alpha L,Itgal
1425368_PM_a_at,numb gene homolog (Drosophila),Numb
1425369_PM_a_at,SRY (sex determining region Y)-box 10,Sox10
1425370_PM_a_at,avian erythroblastosis virus E-26 (v-ets) oncogene related,Erg
1425371_PM_at,"polymerase (DNA directed), beta",Polb
1425372_PM_at,"DnaJ (Hsp40) homolog, subfamily C, member 19 /// DnaJ (Hsp40) homolog, subfamily C, member 19, pseudogene",Dnajc19 /// Dnajc19-ps
1425373_PM_a_at,"proteasome (prosome, macropain) assembly chaperone 2",Psmg2
1425374_PM_at,2'-5' oligoadenylate synthetase 3,Oas3
1425375_PM_at,TD and POZ domain containing 1,Tdpoz1
1425376_PM_at,arachidonate 8-lipoxygenase,Alox8
1425377_PM_at,"wingless-type MMTV integration site family, member 1",Wnt1
1425378_PM_at,hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1,Herc1
1425379_PM_at,hepatocyte growth factor,Hgf
1425380_PM_at,RAS guanyl releasing protein 4,Rasgrp4
1425381_PM_a_at,transferrin receptor 2,Tfr2
1425382_PM_a_at,aquaporin 4,Aqp4
1425383_PM_a_at,pre B cell leukemia homeobox 1,Pbx1
1425384_PM_a_at,ubiquitination factor E4A,Ube4a
1425385_PM_a_at,RecName: Full=Ig gamma-2A chain C region secreted form; AltName: Full=B allele; /// RecName: Full=Ig gamma-2A chain C region secreted form; AltName: Full=B allele; /// immunoglobulin heavy constant gamma 2C /// immunoglobulin heavy constant mu,Igh /// Ighg /// Ighg2c /// Ighm
1425386_PM_at,osteoclast stimulatory transmembrane protein,Ocstamp
1425387_PM_at,"aldo-keto reductase family 1, member C20",Akr1c20
1425388_PM_a_at,thiamine pyrophosphokinase,Tpk1
1425389_PM_a_at,runt related transcription factor 2,Runx2
1425390_PM_at,"adenosine deaminase, tRNA-specific 1",Adat1
1425391_PM_a_at,oxysterol binding protein-like 5,Osbpl5
1425392_PM_a_at,"nuclear receptor subfamily 1, group I, member 3",Nr1i3
1425393_PM_a_at,mitogen-activated protein kinase kinase 7,Map2k7
1425394_PM_at,cDNA sequence BC023105,BC023105
1425395_PM_at,a disintegrin and metallopeptidase domain 26A (testase 3),Adam26a
1425396_PM_a_at,lymphocyte protein tyrosine kinase,Lck
1425397_PM_at,predicted gene 9885,Gm9885
1425398_PM_at,"histone cluster 1, H2bf /// histone cluster 1, H2bj /// histone cluster 1, H2bl /// histone cluster 1, H2bn /// histone cluster 1, H2bq /// histone cluster 1 H2br",Hist1h2bf /// Hist1h2bj /// Hist1h2bl /// Hist1h2bn /// Hist1h2bq /// Hist1h2br
1425399_PM_at,major facilitator superfamily domain containing 7B,Mfsd7b
1425400_PM_a_at,"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4",Cited4
1425401_PM_at,cleavage and polyadenylation specific factor 4-like,Cpsf4l
1425402_PM_at,thimet oligopeptidase 1,Thop1
1425403_PM_at,dynamin 3,Dnm3
1425404_PM_a_at,transmembrane protein 110,Tmem110
1425405_PM_a_at,"adenosine deaminase, RNA-specific",Adar
1425406_PM_at,"C-type lectin domain family 4, member a2",Clec4a2
1425407_PM_s_at,"C-type lectin domain family 4, member a2 /// C-type lectin domain family 4, member b1",Clec4a2 /// Clec4b1
1425408_PM_a_at,RIKEN cDNA 2610034M16 gene,2610034M16Rik
1425409_PM_at,"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)",Chrna2
1425410_PM_at,Tp53rk binding protein,Tprkb
1425411_PM_at,ADP-ribosylation factor-like 4A,Arl4a
1425412_PM_at,"NLR family, pyrin domain containing 3",Nlrp3
1425413_PM_at,"regulatory factor X, 3 (influences HLA class II expression)",Rfx3
1425414_PM_at,"protein phosphatase 1, regulatory (inhibitor) subunit 16B",Ppp1r16b
1425415_PM_a_at,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1",Slc1a1
1425416_PM_s_at,proline/serine-rich coiled-coil 1,Psrc1
1425417_PM_x_at,"killer cell lectin-like receptor subfamily A, member 21 /// killer cell lectin-like receptor, subfamily A, member 8",Klra21 /// Klra8
1425418_PM_at,WAP four-disulfide core domain 5,Wfdc5
1425419_PM_a_at,v-raf-leukemia viral oncogene 1,Raf1
1425420_PM_s_at,large tumor suppressor 2,Lats2
1425421_PM_at,"predicted gene, 20274",Gm20274
1425422_PM_a_at,poly(A)-specific ribonuclease (deadenylation nuclease),Parn
1425423_PM_at,GLIS family zinc finger 1,Glis1
1425424_PM_at,---,---
1425425_PM_a_at,Wnt inhibitory factor 1,Wif1
1425426_PM_a_at,myocyte enhancer factor 2A,Mef2a
1425427_PM_at,"predicted gene, 20767",Gm20767
1425428_PM_at,"hypoxia inducible factor 3, alpha subunit",Hif3a
1425429_PM_s_at,"hypoxia inducible factor 3, alpha subunit",Hif3a
1425430_PM_at,keratin associated protein 19-3,Krtap19-3
1425431_PM_at,keratin associated protein 16-3,Krtap16-3
1425432_PM_at,"opioid receptor, mu 1",Oprm1
1425433_PM_a_at,---,---
1425434_PM_a_at,macrophage scavenger receptor 1,Msr1
1425435_PM_at,macrophage scavenger receptor 1,Msr1
1425436_PM_x_at,"killer cell lectin-like receptor, subfamily A, member 3 /// killer cell lectin-like receptor subfamily A, member 9 /// killer cell lectin-like receptor 3-like",Klra3 /// Klra9 /// LOC100862437
1425437_PM_a_at,"potassium channel, subfamily K, member 7",Kcnk7
1425438_PM_at,---,---
1425439_PM_a_at,"solute carrier family 41, member 3",Slc41a3
1425440_PM_x_at,"solute carrier family 41, member 3",Slc41a3
1425441_PM_at,guanylate cyclase activator 1B,Guca1b
1425442_PM_at,osteoclast associated receptor,Oscar
1425443_PM_at,"transcription factor AP-2, delta",Tfap2d
1425444_PM_a_at,"transforming growth factor, beta receptor II",Tgfbr2
1425445_PM_a_at,claudin 18,Cldn18
1425446_PM_at,---,---
1425447_PM_at,dickkopf homolog 4 (Xenopus laevis),Dkk4
1425448_PM_x_at,"ATPase, H+ transporting, lysosomal V0 subunit B",Atp6v0b
1425449_PM_at,phosphatidic acid phosphatase type 2A,Ppap2a
1425450_PM_at,chitinase-like 4,Chil4
1425451_PM_s_at,chitinase-like 3 /// chitinase-like 4,Chil3 /// Chil4
1425452_PM_s_at,"family with sequence similarity 84, member A",Fam84a
1425453_PM_x_at,"killer cell lectin-like receptor subfamily A, member 12",Klra12
1425454_PM_a_at,interleukin 12a,Il12a
1425455_PM_a_at,churchill domain containing 1,Churc1
1425456_PM_a_at,mitogen-activated protein kinase kinase 3,Map2k3
1425457_PM_a_at,growth factor receptor bound protein 10,Grb10
1425458_PM_a_at,growth factor receptor bound protein 10,Grb10
1425459_PM_at,myotubularin related protein 2,Mtmr2
1425460_PM_at,myotubularin related protein 2,Mtmr2
1425461_PM_at,F-box and WD-40 domain protein 11,Fbxw11
1425462_PM_at,F-box and WD-40 domain protein 11,Fbxw11
1425463_PM_at,GATA binding protein 6,Gata6
1425464_PM_at,GATA binding protein 6,Gata6
1425465_PM_a_at,SUMO/sentrin specific peptidase 2,Senp2
1425466_PM_at,SUMO/sentrin specific peptidase 2,Senp2
1425467_PM_a_at,proteolipid protein (myelin) 1,Plp1
1425468_PM_at,proteolipid protein (myelin) 1,Plp1
1425469_PM_a_at,---,---
1425470_PM_at,---,---
1425471_PM_x_at,---,---
1425472_PM_a_at,lamin A,Lmna
1425473_PM_at,mediator complex subunit 17,Med17
1425474_PM_a_at,vacuolar protein sorting 39 (yeast),Vps39
1425475_PM_at,"collagen, type IV, alpha 5",Col4a5
1425476_PM_at,"collagen, type IV, alpha 5",Col4a5
1425477_PM_x_at,"histocompatibility 2, class II antigen A, beta 1",H2-Ab1
1425478_PM_x_at,ubiquitin-conjugating enzyme E2I,Ube2i
1425479_PM_at,SET and MYND domain containing 5,Smyd5
1425480_PM_at,"CCR4-NOT transcription complex, subunit 6-like",Cnot6l
1425481_PM_at,"CCR4-NOT transcription complex, subunit 6-like",Cnot6l
1425482_PM_s_at,ankyrin repeat and MYND domain containing 2,Ankmy2
1425483_PM_at,thymocyte selection-associated high mobility group box,Tox
1425484_PM_at,thymocyte selection-associated high mobility group box,Tox
1425485_PM_at,myotubularin related protein 6,Mtmr6
1425486_PM_s_at,myotubularin related protein 6,Mtmr6
1425487_PM_at,SLU7 splicing factor homolog (S. cerevisiae),Slu7
1425488_PM_at,SLU7 splicing factor homolog (S. cerevisiae),Slu7
1425489_PM_at,SLU7 splicing factor homolog (S. cerevisiae),Slu7
1425490_PM_a_at,WD repeat domain 13,Wdr13
1425491_PM_at,"bone morphogenetic protein receptor, type 1A",Bmpr1a
1425492_PM_at,"bone morphogenetic protein receptor, type 1A",Bmpr1a
1425493_PM_at,"bone morphogenetic protein receptor, type 1A",Bmpr1a
1425494_PM_s_at,"bone morphogenetic protein receptor, type 1A",Bmpr1a
1425495_PM_at,zinc finger protein 62,Zfp62
1425496_PM_at,"ATP-binding cassette, sub-family A (ABC1), member 3",Abca3
1425497_PM_a_at,PRP4 pre-mRNA processing factor 4 homolog B (yeast),Prpf4b
1425498_PM_at,PRP4 pre-mRNA processing factor 4 homolog B (yeast),Prpf4b
1425499_PM_at,---,---
1425500_PM_x_at,---,---
1425501_PM_at,---,---
1425502_PM_x_at,---,---
1425503_PM_at,"glucosaminyl (N-acetyl) transferase 2, I-branching enzyme",Gcnt2
1425504_PM_at,"myosin, light polypeptide kinase",Mylk
1425505_PM_at,"myosin, light polypeptide kinase",Mylk
1425506_PM_at,"myosin, light polypeptide kinase",Mylk
1425507_PM_at,ADP-ribosylation factor related protein 1,Arfrp1
1425508_PM_s_at,ADP-ribosylation factor related protein 1,Arfrp1
1425509_PM_at,MAP/microtubule affinity-regulating kinase 1,Mark1
1425510_PM_at,MAP/microtubule affinity-regulating kinase 1,Mark1
1425511_PM_at,MAP/microtubule affinity-regulating kinase 1,Mark1
1425512_PM_at,mitogen-activated protein kinase kinase 7,Map2k7
1425513_PM_at,mitogen-activated protein kinase kinase 7,Map2k7
1425514_PM_at,"phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)",Pik3r1
1425515_PM_at,"phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)",Pik3r1
1425516_PM_at,O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase),Ogt
1425517_PM_s_at,O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase),Ogt
1425518_PM_at,Rap guanine nucleotide exchange factor (GEF) 4,Rapgef4
1425519_PM_a_at,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)",Cd74
1425520_PM_a_at,dehydrodolichyl diphosphate synthase,Dhdds
1425521_PM_at,polyadenylate binding protein-interacting protein 1,Paip1
1425522_PM_at,RNA binding motif protein 25,Rbm25
1425523_PM_at,RNA binding motif protein 25,Rbm25
1425524_PM_at,RNA binding motif protein 25,Rbm25
1425525_PM_a_at,"purinergic receptor P2X, ligand-gated ion channel 4",P2rx4
1425526_PM_a_at,paired related homeobox 1,Prrx1
1425527_PM_at,paired related homeobox 1,Prrx1
1425528_PM_at,paired related homeobox 1,Prrx1
1425529_PM_s_at,WW domain binding protein 1 like,Wbp1l
1425530_PM_a_at,syntaxin 3,Stx3
1425531_PM_at,"zinc finger, HIT domain containing 1",Znhit1
1425532_PM_a_at,bridging integrator 1,Bin1
1425533_PM_a_at,staufen (RNA binding protein) homolog 2 (Drosophila),Stau2
1425534_PM_at,staufen (RNA binding protein) homolog 2 (Drosophila),Stau2
1425535_PM_at,replication initiator 1,Repin1
1425536_PM_at,syntaxin 3,Stx3
1425537_PM_at,"protein phosphatase 1A, magnesium dependent, alpha isoform",Ppm1a
1425538_PM_x_at,carcinoembryonic antigen-related cell adhesion molecule 1,Ceacam1
1425539_PM_a_at,reticulon 3,Rtn3
1425540_PM_at,ornithine transcarbamylase,Otc
1425541_PM_at,DEAD (Asp-Glu-Ala-Asp) box polypeptide 27,Ddx27
1425542_PM_a_at,"protein phosphatase 2, regulatory subunit B', gamma",Ppp2r5c
1425543_PM_s_at,"pleckstrin homology domain containing, family A member 5",Plekha5
1425544_PM_at,"pleckstrin homology domain containing, family A member 5",Plekha5
1425545_PM_x_at,"histocompatibility 2, D region locus 1 /// histocompatibility 2, D region locus L",H2-D1 /// H2-L
1425546_PM_a_at,"signal recognition particle receptor, B subunit /// transferrin",Srprb /// Trf
1425547_PM_a_at,kinesin light chain 4,Klc4
1425548_PM_a_at,leukocyte specific transcript 1,Lst1
1425549_PM_at,presenilin 1,Psen1
1425550_PM_a_at,"protein kinase, cAMP dependent regulatory, type I, alpha",Prkar1a
1425551_PM_at,huntingtin interacting protein 1 related,Hip1r
1425552_PM_at,huntingtin interacting protein 1 related,Hip1r
1425553_PM_s_at,huntingtin interacting protein 1 related,Hip1r
1425554_PM_a_at,CDC16 cell division cycle 16,Cdc16
1425555_PM_at,cyclin-dependent kinase 12,Cdk12
1425556_PM_at,cyclin-dependent kinase 12,Cdk12
1425557_PM_x_at,"TSC22 domain family, member 3",Tsc22d3
1425558_PM_at,kinesin light chain 3,Klc3
1425559_PM_a_at,acyl-CoA synthetase medium-chain family member 3,Acsm3
1425560_PM_a_at,S100 calcium binding protein A16,S100a16
1425561_PM_at,"tRNA nucleotidyl transferase, CCA-adding, 1",Trnt1
1425562_PM_s_at,"tRNA nucleotidyl transferase, CCA-adding, 1",Trnt1
1425563_PM_s_at,protocadherin 10,Pcdh10
1425564_PM_at,RE1-silencing transcription factor,Rest
1425565_PM_at,RE1-silencing transcription factor,Rest
1425566_PM_at,RE1-silencing transcription factor,Rest
1425567_PM_a_at,annexin A5,Anxa5
1425568_PM_a_at,transmembrane protein 33,Tmem33
1425569_PM_a_at,signaling lymphocytic activation molecule family member 1,Slamf1
1425570_PM_at,signaling lymphocytic activation molecule family member 1,Slamf1
1425571_PM_at,signaling lymphocytic activation molecule family member 1,Slamf1
1425572_PM_a_at,"ArfGAP with SH3 domain, ankyrin repeat and PH domain1",Asap1
1425573_PM_a_at,"ArfGAP with SH3 domain, ankyrin repeat and PH domain1",Asap1
1425574_PM_at,Eph receptor A3,Epha3
1425575_PM_at,Eph receptor A3,Epha3
1425576_PM_at,S-adenosylhomocysteine hydrolase-like 1,Ahcyl1
1425577_PM_at,"zinc finger, MYM-type 5",Zmym5
1425578_PM_a_at,glial cell line derived neurotrophic factor family receptor alpha 2,Gfra2
1425579_PM_at,glial cell line derived neurotrophic factor family receptor alpha 2,Gfra2
1425580_PM_a_at,"phosphoinositide-3-kinase, class 3",Pik3c3
1425581_PM_s_at,UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7,Galnt7
1425582_PM_a_at,endomucin,Emcn
1425583_PM_at,---,---
1425584_PM_x_at,---,---
1425585_PM_at,mediator complex subunit 12,Med12
1425586_PM_a_at,melanophilin,Mlph
1425587_PM_a_at,"receptor-type tyrosine-protein phosphatase eta-like /// protein tyrosine phosphatase, receptor type, J",LOC102641972 /// Ptprj
1425588_PM_at,"receptor-type tyrosine-protein phosphatase eta-like /// protein tyrosine phosphatase, receptor type, J",LOC102641972 /// Ptprj
1425589_PM_at,hydroxysteroid (17-beta) dehydrogenase 13,Hsd17b13
1425590_PM_s_at,aryl hydrocarbon receptor-interacting protein-like 1,Aipl1
1425591_PM_a_at,charged multivesicular body protein 2A,Chmp2a
1425592_PM_at,"transportin 2 (importin 3, karyopherin beta 2b)",Tnpo2
1425593_PM_at,"transportin 2 (importin 3, karyopherin beta 2b)",Tnpo2
1425594_PM_at,laminin gamma 3,Lamc3
1425595_PM_at,"gamma-aminobutyric acid (GABA) B receptor, 1",Gabbr1
1425596_PM_at,expressed sequence AI317395,AI317395
1425597_PM_a_at,quaking,Qk
1425598_PM_a_at,predicted gene 11787 /// Yamaguchi sarcoma viral (v-yes-1) oncogene homolog,Gm11787 /// Lyn
1425599_PM_a_at,GATA zinc finger domain containing 1,Gatad1
1425600_PM_a_at,"phospholipase C, beta 1",Plcb1
1425601_PM_a_at,rhotekin,Rtkn
1425602_PM_a_at,"rabaptin, RAB GTPase binding effector protein 2",Rabep2
1425603_PM_at,transmembrane protein 176A,Tmem176a
1425604_PM_at,v-crk sarcoma virus CT10 oncogene homolog (avian)-like,Crkl
1425605_PM_a_at,limb region 1,Lmbr1
1425606_PM_at,"solute carrier family 5 (iodide transporter), member 8",Slc5a8
1425607_PM_at,holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase),Hlcs
1425608_PM_at,dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related),Dusp3
1425609_PM_at,neutrophil cytosolic factor 1,Ncf1
1425610_PM_s_at,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2,Galnt2
1425611_PM_a_at,cut-like homeobox 1,Cux1
1425612_PM_at,cut-like homeobox 1,Cux1
1425613_PM_at,"protocadherin alpha 1 /// protocadherin alpha 10 /// protocadherin alpha 11 /// protocadherin alpha 12 /// protocadherin alpha 2 /// protocadherin alpha 4 /// protocadherin alpha 9 /// protocadherin alpha subfamily C, 1 /// protocadherin alpha subfamily C, 2",Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha4 /// Pcdha9 /// Pcdhac1 /// Pcdhac2
1425614_PM_x_at,"histocompatibility 2, D region locus 1",H2-D1
1425615_PM_a_at,phosphoenolpyruvate carboxykinase 2 (mitochondrial),Pck2
1425616_PM_a_at,coiled-coil domain containing 23,Ccdc23
1425617_PM_at,DEAH (Asp-Glu-Ala-His) box polypeptide 9,Dhx9
1425618_PM_at,DEAH (Asp-Glu-Ala-His) box polypeptide 9,Dhx9
1425619_PM_s_at,desmoglein 2,Dsg2
1425620_PM_at,"transforming growth factor, beta receptor III",Tgfbr3
1425621_PM_at,tripartite motif-containing 35,Trim35
1425622_PM_at,EGF-like repeats and discoidin I-like domains 3,Edil3
1425623_PM_a_at,cystathionine beta-synthase,Cbs
1425624_PM_at,EPM2A (laforin) interacting protein 1,Epm2aip1
1425625_PM_at,"interleukin 13 receptor, alpha 1",Il13ra1
1425626_PM_at,"glutathione S-transferase, mu 1",Gstm1
1425627_PM_x_at,"glutathione S-transferase, mu 1",Gstm1
1425628_PM_a_at,general transcription factor II I,Gtf2i
1425629_PM_a_at,nucleolar protein family 6 (RNA-associated),Nol6
1425630_PM_at,"transcriptional regulator, SIN3B (yeast)",Sin3b
1425631_PM_at,"protein phosphatase 1, regulatory (inhibitor) subunit 3C",Ppp1r3c
1425632_PM_a_at,PQ loop repeat containing 2,Pqlc2
1425633_PM_at,complement factor H-related 2,Cfhr2
1425634_PM_a_at,"tyrosine kinase, non-receptor, 1",Tnk1
1425635_PM_at,"tyrosine kinase, non-receptor, 1",Tnk1
1425636_PM_at,hedgehog acyltransferase,Hhat
1425637_PM_at,expressed sequence BB283400,BB283400
1425638_PM_at,ArfGAP with dual PH domains 2,Adap2
1425639_PM_at,ArfGAP with dual PH domains 2,Adap2
1425640_PM_at,"AF4/FMR2 family, member 1",Aff1
1425641_PM_at,"AF4/FMR2 family, member 1",Aff1
1425642_PM_at,centrosomal protein 290,Cep290
1425643_PM_at,glycophorin A,Gypa
1425644_PM_at,leptin receptor,Lepr
1425645_PM_s_at,"cytochrome P450, family 2, subfamily b, polypeptide 10",Cyp2b10
1425646_PM_at,nicotinamide riboside kinase 1,Nmrk1
1425647_PM_at,tripartite motif-containing 60,Trim60
1425648_PM_at,tripartite motif-containing 60,Trim60
1425649_PM_at,"solute carrier family 39 (zinc transporter), member 14",Slc39a14
1425650_PM_at,"transducin-like enhancer of split 4, homolog of Drosophila E(spl)",Tle4
1425651_PM_at,nonhomologous end-joining factor 1,Nhej1
1425652_PM_s_at,RNA binding protein gene with multiple splicing,Rbpms
1425653_PM_at,activating transcription factor 7,Atf7
1425654_PM_a_at,LIM domain and actin binding 1,Lima1
1425655_PM_at,keratin associated protein 16-1,Krtap16-1
